ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice
ID07351,1-янв.,East,Boston,Bars,Carrot,33,"1,77","58,41"
ID07352,4-янв.,East,Boston,Crackers,Whole Wheat,87,"3,49","303,63"
ID07353,7-янв.,West,Los Angeles,Cookies,Chocolate Chip,58,"1,87","108,46"
ID07354,10-янв.,East,New York,Cookies,Chocolate Chip,82,"1,87","153,34"
ID07355,13-янв.,East,Boston,Cookies,Arrowroot,38,"2,18","82,84"
ID07356,16-янв.,East,Boston,Bars,Carrot,54,"1,77","95,58"
ID07357,19-янв.,East,Boston,Crackers,Whole Wheat,149,"3,49","520,01"
ID07358,22-янв.,West,Los Angeles,Bars,Carrot,51,"1,77","90,27"
ID07359,25-янв.,East,New York,Bars,Carrot,100,"1,77",177
ID07360,28-янв.,East,New York,Snacks,Potato Chips,28,"1,35","37,8"
ID07361,31-янв.,East,Boston,Cookies,Arrowroot,36,"2,18","78,48"
ID07362,3-февр.,East,Boston,Cookies,Chocolate Chip,31,"1,87","57,97"
ID07363,6-февр.,East,Boston,Crackers,Whole Wheat,28,"3,49","97,72"
ID07364,9-февр.,West,Los Angeles,Bars,Carrot,44,"1,77","77,88"
ID07365,12-февр.,East,New York,Bars,Carrot,23,"1,77","40,71"
ID07366,15-февр.,East,New York,Snacks,Potato Chips,27,"1,35","36,45"
ID07367,18-февр.,East,Boston,Cookies,Arrowroot,43,"2,18","93,74"
ID07368,21-февр.,East,Boston,Cookies,Oatmeal Raisin,123,"2,84","349,32"
ID07369,24-февр.,West,Los Angeles,Bars,Bran,42,"1,87","78,54"
ID07370,27-февр.,West,Los Angeles,Cookies,Oatmeal Raisin,33,"2,84","93,72"
ID07371,2-мар.,East,New York,Cookies,Chocolate Chip,85,"1,87","158,95"
ID07372,5-мар.,West,San Diego,Cookies,Oatmeal Raisin,30,"2,84","85,2"
ID07373,8-мар.,East,Boston,Bars,Carrot,61,"1,77","107,97"
ID07374,11-мар.,East,Boston,Crackers,Whole Wheat,40,"3,49","139,6"
ID07375,14-мар.,West,Los Angeles,Cookies,Chocolate Chip,86,"1,87","160,82"
ID07376,17-мар.,East,New York,Bars,Carrot,38,"1,77","67,26"
